f (GHz),theta (deg.),phi (deg.),gain (dBi),directivity (dBi)
1.9800000000000002,2.0,-176.0,2.0615169241725746,3.417597796815398
1.9800000000000002,4.0,-176.0,2.057271184631507,3.410559178829165
1.9800000000000002,6.000000000000001,-176.0,2.043017426697368,3.3869291949367915
1.9800000000000002,8.0,-176.0,2.018985943627575,3.347089626980542
1.9800000000000002,10.0,-176.0,1.9853263069238558,3.29128843568719
1.9800000000000002,12.000000000000002,-176.0,1.9421019364026442,3.2196307588911015
1.9800000000000002,14.0,-176.0,1.889311521266282,3.132114423542356
1.9800000000000002,16.0,-176.0,1.8269383233397085,3.028711680972223
1.9800000000000002,18.0,-176.0,1.7550223100844802,2.9094887895300565
1.9800000000000002,20.0,-176.0,1.673744650445599,2.77474609241461
1.9800000000000002,22.0,-176.0,1.5835106950173519,2.625155582798352
1.9800000000000002,24.000000000000004,-176.0,1.4850168094627532,2.4618717007578055
1.9800000000000002,26.0,-176.0,1.3792886215309643,2.286594739458061
1.9800000000000002,28.0,-176.0,1.267683587380739,2.101575099622502
1.9800000000000002,29.999999999999996,-176.0,1.1518593471703058,1.9095608291988575
1.9800000000000002,32.0,-176.0,1.0337207727478714,1.7137098386341905
1.9800000000000002,34.0,-176.0,0.9153721644635537,1.517510652400979
1.9800000000000002,36.0,-176.0,0.7991162034192321,1.3247806720292679
1.9800000000000002,38.0,-176.0,0.6875583702595113,1.139839282340126
1.9800000000000002,40.0,-176.0,0.5838928305983643,0.9679817943916268
1.9800000000000002,42.0,-176.0,0.4924356548109116,0.8163634211397993
1.9800000000000002,44.0,-176.0,0.4192808157013511,0.6950867951583919
1.9800000000000002,46.0,-176.0,0.3721414848710333,0.6169388686000359
1.9800000000000002,48.00000000000001,-176.0,0.3571999584220482,0.5921686970460934
1.9800000000000002,50.0,-176.0,0.3734748523504185,0.6191493349350242
1.9800000000000002,52.0,-176.0,0.4121211108641777,0.6832173842452637
1.9800000000000002,54.0,-176.0,0.4622119507481284,0.7662583440456462
1.9800000000000002,56.0,-176.0,0.5150183947930473,0.853801252235937
1.9800000000000002,58.00000000000001,-176.0,0.5645556790373217,0.9359245234583652
1.9800000000000002,59.99999999999999,-176.0,0.6068622754753974,1.0060607076837547
1.9800000000000002,62.0,-176.0,0.639360353592387,1.0599362586778054
1.9800000000000002,64.0,-176.0,0.6604800562809808,1.0949486558750314
1.9800000000000002,66.0,-176.0,0.6694526359205818,1.1098234638615627
1.9800000000000002,68.0,-176.0,0.6661875789122756,1.1044106285327706
1.9800000000000002,70.0,-176.0,0.6511909414934,1.079549093610878
1.9800000000000002,72.0,-176.0,0.6255074568913389,1.0369708254621575
1.9800000000000002,74.0,-176.0,0.5906776162423409,0.9792296615310275
1.9800000000000002,76.0,-176.0,0.5487007678085288,0.9096401359528032
1.9800000000000002,78.0,-176.0,0.501993730472905,0.8322088687037744
1.9800000000000002,80.0,-176.0,0.45333489155437273,0.7515418905511128
1.9800000000000002,82.0,-176.0,0.4057825507036865,0.6727092729678504
1.9800000000000002,84.0,-176.0,0.3625413750700556,0.6010237365337902
1.9800000000000002,86.0,-176.0,0.32671105798645816,0.5416239754703447
1.9800000000000002,88.0,-176.0,0.300817818845363,0.49869797471653626
1.9800000000000002,90.0,-176.0,0.2861369933993738,0.47435999518732036
1.9800000000000002,92.0,-176.0,0.2821599004678058,0.4677667415102436
1.9800000000000002,94.0,-176.0,0.28673510235028987,0.4753515445696892
1.9800000000000002,96.00000000000001,-176.0,0.29688033530545876,0.49217038577793243
1.9800000000000002,98.0,-176.0,0.30964656571282906,0.513334335684081
1.9800000000000002,100.0,-176.0,0.3225928909185528,0.5347968480608329
1.9800000000000002,102.0,-176.0,0.333924750051201,0.5535828868032046
1.9800000000000002,104.0,-176.0,0.34251303150419904,0.5678206024523144
1.9800000000000002,106.0,-176.0,0.3479226560877045,0.5767887175530951
1.9800000000000002,108.0,-176.0,0.35046662605350326,0.5810061295220837
1.9800000000000002,110.0,-176.0,0.3512332196016354,0.5822769938989071
